id_viaje,"identifica de forma unica a un viaje dentro del mes. Definiendo por viaje, todos los tramos realizados por el/los pasajeros con un unico pago"
con_tarjeta,"0 = viajes sin tarjeta, 1= viajes con tarjeta"
fecha_evento,fecha hora en la cual se registra el tramo del viaje
tipo_viaje,"codigo del tipo de viaje considerando el tipo de viaje y el grupo de usuario (ej, un estudiante A por defecto realiza un viaje 1 Hora, el cual se considera como un viaje EST. A) "
descripcion_tipo_viaje,descripcion del tipo de viaje
grupo_usuario,codigo del grupo de usuario
descripcion_grupo_usuario,"descripcion del grupo de usuario  (ej Estudiante, Jubilado, Usuario Corriente)"
grupo_usuario_especifico,codigo del subgrupo dentro del grupo de usuario
descripcion_grupo_usuario_espe,"descripcion grupo usuario especifico (ej Estudiante A, Jubilado B)"
ordinal_de_tramo,"para viajes con tarjeta, ordinal del tramo dentro del viaje"
cantidad_pasajeros,cantidad de personas que realizan el tramo
codigo_parada_origen,codigo de la parada de ascenso
cod_empresa,codigo de empresa a la cual pertenece el omnibus
descrip_empresa,descripcion de la empresa transportista
linea_codigo,codigo de la linea
dsc_linea,nombre publico de la linea
sevar_codigo,codigo de la variante
