fecha_evento,cantidad_pasajeros,codigo_parada_origen,cod_empresa,descrip_empresa,linea_codigo,dsc_linea,sevar_codigo
2024-05-19 10:00:07,1,3453,10,C.O.E.T.C.,497,144,8872
2024-05-19 20:19:07,1,3456,10,C.O.E.T.C.,497,144,8872
2024-05-19 21:03:07,2,3456,10,C.O.E.T.C.,497,144,8872
2024-05-19 21:01:07,2,3456,10,C.O.E.T.C.,497,144,8872
2024-05-15 10:41:36,1,6424,50,C.U.T.C.S.A.,26,102,1111
2024-05-15 10:41:36,1,6424,50,C.U.T.C.S.A.,26,102,3666
2024-05-15 20:19:07,1,1567,10,C.O.E.T.C.,497,G,8803
2024-05-30 15:00:20,1,2197,50,C.U.T.C.S.A.,40,121,7883
2024-05-31 08:13:44,1,4135,10,C.O.E.T.C.,7,427,8532
2024-05-14 16:17:04,1,2251,70,U.C.O.T.,128,300,8385
2024-05-21 14:55:58,1,4865,50,C.U.T.C.S.A.,32,110,8674
2024-05-31 09:56:55,1,4903,10,C.O.E.T.C.,5,409,3126
2024-05-17 18:50:57,1,4865,50,C.U.T.C.S.A.,447,174,8708
2024-05-02 15:19:44,1,1145,50,C.U.T.C.S.A.,46,128,4260
2024-05-04 07:34:52,1,2002,10,C.O.E.T.C.,3,405,37
2024-05-10 06:14:40,1,556,10,C.O.E.T.C.,4,407,52
2024-05-15 18:36:46,1,1145,50,C.U.T.C.S.A.,452,L3,8588
2024-05-23 15:43:15,1,1400,50,C.U.T.C.S.A.,446,144,4490
