"COD_UBIC_P,N,19,0","DESC_LINEA,C,50","COD_VARIAN,N,11,0","ORDINAL,N,6,0","CALLE,C,36","ESQUINA,C,36","COD_CALLE1,N,11,0","COD_CALLE2,N,11,0","X,N,32,10","Y,N,32,10"
546,144,8870,44,CORU?�A,GRAL JULIO AMADEO ROLETTI,2187,6120,577981.398032968,6140774.57375357
546,144,1111,46,CORU?�A,GRAL JULIO AMADEO ROLETTI,2187,6120,577981.398032968,6140774.57375357
547,144,8872,45,CORU?�A,JUAN FRANCISCO MARTINEZ,2187,4257,577902.796992704,6140892.49221331
547,144,3225,47,CORU?�A,JUAN FRANCISCO MARTINEZ,2187,4257,577902.796992704,6140892.49221331
548,144,888,20,CORU?�A,SAN ANTONIO,2187,6279,577926.50589,6140844.77825
548,144,3226,20,CORU?�A,SAN ANTONIO,2187,6279,577926.50589,6140844.77825
549,144,883,46,CORU?�A,AGACES,2187,120,577776.31416,6141077.73612
549,144,3225,48,CORU?�A,AGACES,2187,120,577776.31416,6141077.73612
550,144,888,19,CORU?�A,AGACES,2187,120,577751.54027,6141103.68466
550,144,3226,19,CORU?�A,AGACES,2187,120,577751.54027,6141103.68466
551,144,888,22,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.08853,6140505.71004
551,144,3226,22,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.08853,6140505.71004
551,538,8200,65,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.08853,6140505.71004
551,538,8202,64,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.08853,6140505.71004
551,174,8707,69,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.08853,6140505.71004
551,174,8709,71,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.08853,6140505.71004
553,316,1763,46,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.849700775,6138605.03863943
553,185,3795,64,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.849700775,6138605.03863943
553,185,4266,60,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.849700775,6138605.03863943
